NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Pithoragarh,Uttranchal,0,0,7100,462289,0.492365166,0.507634834,0.641075172,0.750706236,0.534741812,0.42983718,0.434048723,0.42575232,0.160853925,0.001330337,0.57016282,0.870572304,0.618867653,0.129427696,0.790450086,2609
Patiala,Punjab,0,0,3627,1844934,0.535189877,0.464810123,0.60697239,0.655010685,0.551660323,0.369634361,0.535845006,0.178256743,0.073132155,0.046440144,0.630365639,0.650551185,0.54434089,0.349448815,0.723570287,2115
Sangrur,Punjab,0,0,5021,2000173,0.534598257,0.465401743,0.520609967,0.567140408,0.467161322,0.407013793,0.547256167,0.245920007,0.111950816,0.056573606,0.592986207,0.707615791,0.484262594,0.292384209,0.608576329,2117
Muktsar,Punjab,0,0,2615,777493,0.528901225,0.471098775,0.503744728,0.562073066,0.438259673,0.398166929,0.549634378,0.228114864,0.10320736,0.092589901,0.601833071,0.744609919,0.461554007,0.255390081,0.626755102,2113
Bathinda,Punjab,0,0,3382,1183295,0.534785493,0.465214507,0.534583515,0.588215401,0.472931192,0.42311258,0.551869521,0.275100548,0.110822745,0.063572482,0.57688742,0.702733469,0.479908988,0.297266531,0.663833247,2102
Ambala,Haryana,0,0,1574,1014411,0.53526332,0.46473668,0.653373238,0.708737202,0.589607453,0.319910766,0.509472777,0.101581558,0.049558808,0.023946901,0.680089234,0.648044037,0.597729178,0.351955963,0.755828675,801
Ambala,Haryana,0,0,1574,1014411,0.53526332,0.46473668,0.653373238,0.708737202,0.589607453,0.319910766,0.509472777,0.101581558,0.049558808,0.023946901,0.680089234,0.648044037,0.597729178,0.351955963,0.755828675,801
Yamunanagar,Haryana,0,0,1768,1041630,0.537085145,0.462914855,0.613184144,0.671134198,0.545949074,0.323083053,0.501013506,0.116643785,0.053995181,0.035934065,0.676916947,0.622685599,0.552295069,0.377314401,0.713669973,819
Saharanpur,Uttar Pradesh,0,0,3689,2896863,0.536208305,0.463791695,0.498474729,0.577842843,0.406714049,0.282211482,0.47142962,0.063448752,0.073011737,0.050444567,0.717788518,0.741937399,0.473124858,0.258062601,0.571356338,2761
Bageshwar,Uttranchal,0,0,2303,249462,0.475062334,0.524937666,0.595136734,0.718589149,0.48341377,0.476401215,0.451430259,0.498999633,0.25456783,0.00341535,0.523598785,0.968720687,0.59022838,0.031279313,0.747148533,2602
Hardwar,Uttranchal,0,0,2360,1447187,0.536227177,0.463772823,0.521665825,0.603982366,0.426489125,0.293854906,0.471982073,0.087899268,0.060955495,0.037633699,0.706145094,0.691625892,0.455769338,0.308374108,0.669459414,2607
Garhwal,Uttranchal,0,0,5400,697078,0.474926766,0.525073234,0.662300345,0.765025177,0.569386121,0.387146058,0.407870453,0.368400921,0.142582322,0.001504853,0.612853942,0.871068948,0.645917428,0.128931052,0.772984701,2606
Kurukshetra,Haryana,0,0,1530,825454,0.535860266,0.464139734,0.599516145,0.663794741,0.525304991,0.37360289,0.511859977,0.213981823,0.080456331,0.053798273,0.62639711,0.73891822,0.560985207,0.26108178,0.70856708,811
Mansa,Punjab,0,0,2169,688758,0.532038829,0.467961171,0.45100311,0.502295018,0.39268783,0.40869362,0.543075924,0.255910422,0.128577817,0.066412296,0.59130638,0.793208936,0.408345521,0.206791064,0.614629043,2111
Kaithal,Haryana,0,0,2317,946131,0.539579614,0.460420386,0.49946889,0.581487641,0.403348806,0.393191852,0.508662855,0.257868132,0.125548153,0.042786887,0.606808148,0.806071252,0.470793248,0.193928748,0.618660141,809
Ganganagar,Rajasthan,0,0,7984,1789423,0.533902828,0.466097172,0.539528664,0.627894927,0.438307286,0.402248099,0.535489618,0.249623222,0.121699565,0.054088385,0.597751901,0.746646265,0.499994761,0.253353735,0.656037075,2215
Ambala,Haryana,0,0,1574,1014411,0.53526332,0.46473668,0.653373238,0.708737202,0.589607453,0.319910766,0.509472777,0.101581558,0.049558808,0.023946901,0.680089234,0.648044037,0.597729178,0.351955963,0.755828675,801
Sirsa,Haryana,0,0,4277,1116649,0.531272584,0.468727416,0.514596798,0.591590321,0.427329558,0.425891216,0.530482347,0.307343849,0.128511287,0.059293475,0.574108784,0.737191365,0.471969815,0.262808635,0.634167618,817
Almora,Uttranchal,0,0,3083,630567,0.466005991,0.533994009,0.622677685,0.739052163,0.521119984,0.463363925,0.445240396,0.479179969,0.232124421,0.001879261,0.536636075,0.913561921,0.603719739,0.086438079,0.823043757,2601
